Partita,GG,NG
Genoa-Juventus,0.5054086039470982,0.49459139605290176
Lecce-Frosinone,0.5646229901422382,0.4353770098577618
Napoli-Cagliari,0.5777050574484707,0.42229494255152933
Torino-Empoli,0.22028425442312383,0.7797157455768762
Milan-Monza,0.24030315889324672,0.7596968411067533
Fiorentina-Verona,0.34594259203018085,0.6540574079698191
Udinese-Sassuolo,0.564203254268056,0.4357967457319441
Bologna-Roma,0.3847693232629201,0.6152306767370799
Lazio-Inter,0.6178583195572409,0.38214168044275915
Atalanta-Salernitana,0.5433498177453828,0.4566501822546171
