Partita,0,1,2,3,4
Fiorentina-Torino,0.5308975961223938,0.32521625271665594,0.10404913510306575,0.03298201630406115,0.006854999753823518
Napoli-Monza,0.29497297036256387,0.418122203109617,0.25031277330451057,0.02967919774387869,0.006912855479429741
Genoa-Inter,0.23934920699175552,0.2893472556091,0.3202447553700635,0.11222343013215105,0.03883535189692979
Lazio-Frosinone,0.40075166716126315,0.376998638340043,0.17597976558246253,0.03855085003993859,0.007719078876292879
Atalanta-Lecce,0.23114323735141123,0.5277808243005695,0.20033640682541037,0.03030595229700661,0.010433579225602228
Cagliari-Empoli,0.39149409846745925,0.40015675001805007,0.1716375376248475,0.028290432512072184,0.00842118137757096
Udinese-Bologna,0.3572920509793644,0.3561013732714192,0.21523680218027305,0.054859329537546846,0.016510444031396506
Verona-Salernitana,0.6385130977022234,0.22813746975557128,0.09939843444191025,0.027820728289879772,0.006130269810415296
Milan-Sassuolo,0.4640078874678601,0.2272229418835034,0.25044378324801064,0.04689427292485631,0.011431114475769529
Juventus-Roma,0.5914349001932572,0.2367772395107627,0.12342825732782665,0.03360025268552206,0.014759350282631407
