Partita,0,1,2,3,4
Bologna-Genoa,0.2425895324733,0.4033910786607039,0.29934885245196236,0.048838587361479176,0.005831949052554469
Inter-Verona,0.4655902732114786,0.22325959907985413,0.10660175814949092,0.15671496051743178,0.047833409041744226
Frosinone-Monza,0.3589849302254102,0.46779258280837466,0.10852114692226995,0.05817480766461016,0.00652653237933487
Lecce-Cagliari,0.3097203478985255,0.42051024056526276,0.20539775927930617,0.056163015684794766,0.00820863657211105
Sassuolo-Fiorentina,0.45436183803097785,0.24302771571690704,0.1927319570186614,0.06787388174959023,0.042004607483863435
Empoli-Milan,0.8546092407710262,0.07270753728035084,0.049889766833681216,0.020174246791694144,0.0026192083232477116
Torino-Napoli,0.7226769809482282,0.20529736277873178,0.06032999805577864,0.00889816478650401,0.002797493430757476
Udinese-Lazio,0.3664839036903383,0.3495016674315966,0.23258059052318372,0.044799434826930384,0.006634403527950928
Salernitana-Juventus,0.8424126995091088,0.07991175483308505,0.06851568893280102,0.0057901427413450885,0.0033697139836600895
Roma-Atalanta,0.6223941932702945,0.17516684737855318,0.09291425103477953,0.07476003063672274,0.034764677679649886
