Squadra,Gf,Gs,Punti,V,N,P,Diff,Posizione
Inter,5.0,2.0,3.0,1.0,0.0,0.0,3.0,1
Atalanta,4.0,1.0,3.0,1.0,0.0,0.0,3.0,2
Genoa,4.0,1.0,3.0,1.0,0.0,0.0,3.0,3
Juventus,3.0,0.0,3.0,1.0,0.0,0.0,3.0,4
Verona,3.0,0.0,3.0,1.0,0.0,0.0,3.0,5
Milan,2.0,0.0,3.0,1.0,0.0,0.0,2.0,6
Napoli,2.0,0.0,3.0,1.0,0.0,0.0,2.0,7
Spezia,2.0,0.0,3.0,1.0,0.0,0.0,2.0,8
Fiorentina,1.0,0.0,3.0,1.0,0.0,0.0,1.0,9
Cagliari,1.0,1.0,1.0,0.0,1.0,0.0,0.0,10
Sassuolo,1.0,1.0,1.0,0.0,1.0,0.0,0.0,11
Torino,0.0,1.0,0.0,0.0,0.0,1.0,-1.0,12
Bologna,0.0,2.0,0.0,0.0,0.0,1.0,-2.0,13
Parma,0.0,2.0,0.0,0.0,0.0,1.0,-2.0,14
Udinese,0.0,2.0,0.0,0.0,0.0,1.0,-2.0,15
Benevento,2.0,5.0,0.0,0.0,0.0,1.0,-3.0,16
Crotone,1.0,4.0,0.0,0.0,0.0,1.0,-3.0,17
Lazio,1.0,4.0,0.0,0.0,0.0,1.0,-3.0,18
Roma,0.0,3.0,0.0,0.0,0.0,1.0,-3.0,19
Sampdoria,0.0,3.0,0.0,0.0,0.0,1.0,-3.0,20
