Squadra,Diff,Gf,Gs,N,P,Posizione,Punti,V
Napoli,19.0,22.0,3.0,1.0,0.0,1,28.0,9.0
Milan,14.0,23.0,9.0,1.0,0.0,2,28.0,9.0
Inter,14.0,26.0,12.0,3.0,1.0,3,21.0,6.0
Roma,8.0,18.0,10.0,1.0,3.0,4,19.0,6.0
Atalanta,6.0,18.0,12.0,3.0,2.0,5,18.0,5.0
Lazio,3.0,20.0,17.0,2.0,3.0,6,17.0,5.0
Juventus,1.0,14.0,13.0,3.0,3.0,7,15.0,4.0
Fiorentina,0.0,13.0,13.0,0.0,5.0,8,15.0,5.0
Sassuolo,1.0,14.0,13.0,2.0,4.0,9,14.0,4.0
Verona,3.0,22.0,19.0,3.0,4.0,10,12.0,3.0
Empoli,-6.0,14.0,20.0,0.0,6.0,11,12.0,4.0
Bologna,-7.0,15.0,22.0,3.0,4.0,12,12.0,3.0
Torino,1.0,12.0,11.0,2.0,5.0,13,11.0,3.0
Udinese,-2.0,12.0,14.0,5.0,3.0,14,11.0,2.0
Sampdoria,-6.0,14.0,20.0,3.0,5.0,15,9.0,2.0
Venezia,-9.0,8.0,17.0,2.0,6.0,16,8.0,2.0
Spezia,-11.0,12.0,23.0,2.0,6.0,17,8.0,2.0
Genoa,-7.0,15.0,22.0,4.0,5.0,18,7.0,1.0
Salernitana,-12.0,10.0,22.0,1.0,7.0,19,7.0,2.0
Cagliari,-10.0,12.0,22.0,3.0,6.0,20,6.0,1.0
