,0,1,2,3,Mgf,Sgf,Mgs,Sgs
Milan,0.0,0.0,0.0,0.0,2.25,1.2583057392117916,1.75,2.217355782608345
Frosinone,0.0,0.0,0.0,0.0,1.75,1.707825127659933,1.5,1.2909944487358056
Lecce,0.0,0.0,0.0,0.0,1.75,0.5,1.0,0.816496580927726
Monza,0.0,0.0,0.0,0.0,0.75,0.9574271077563381,1.5,1.2909944487358056
Fiorentina,0.0,0.0,0.0,0.0,2.25,1.707825127659933,2.25,1.2583057392117916
Lazio,0.0,0.0,0.0,0.0,1.0,0.816496580927726,1.75,0.9574271077563381
Salernitana,0.0,0.0,0.0,0.0,0.75,0.9574271077563381,2.0,0.816496580927726
Genoa,0.0,0.0,0.0,0.0,1.0,0.816496580927726,1.75,1.707825127659933
Verona,0.0,0.0,0.0,0.0,1.0,0.816496580927726,1.0,1.4142135623730951
Juventus,0.0,0.0,0.0,0.0,2.25,0.9574271077563381,0.5,0.5773502691896257
Udinese,0.0,0.0,0.0,0.0,0.25,0.5,1.0,1.4142135623730951
Atalanta,0.0,0.0,0.0,0.0,2.0,0.816496580927726,1.25,1.5
Inter,0.0,0.0,0.0,0.0,3.25,1.5,0.25,0.5
Torino,0.0,0.0,0.0,0.0,1.25,1.2583057392117916,1.0,2.0
Cagliari,0.0,0.0,0.0,0.0,0.25,0.5,1.0,1.1547005383792515
Bologna,0.0,0.0,0.0,0.0,0.75,0.9574271077563381,1.0,0.816496580927726
Roma,0.0,0.0,0.0,0.0,2.75,2.8722813232690143,1.5,1.0
Empoli,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.70801280154532
Napoli,0.0,0.0,0.0,0.0,2.0,0.816496580927726,1.25,0.9574271077563381
Sassuolo,0.0,0.0,0.0,0.0,1.25,1.5,2.25,1.2583057392117916
