Partita,0,1,2,3,4
Salernitana-Lazio,0.10659542215291809,0.4702930347984469,0.23650823309905208,0.1684361503126002,0.01816715963698258
Atalanta-Napoli,0.3270719918603882,0.22007884447087217,0.16539378115729508,0.23765119512058833,0.049804187390856264
Milan-Fiorentina,0.3892273430199086,0.33296009523212705,0.1770540944740389,0.07145506762034246,0.02930339965358317
Cagliari-Monza,0.14379628347133025,0.41110456301436116,0.3071399223327967,0.1205571436223531,0.01740208755915874
Empoli-Sassuolo,0.5072718830166344,0.11482221052281641,0.14051633936581026,0.09574609901632228,0.14164346807841663
Frosinone-Genoa,0.20401295277370465,0.4170940440565959,0.21769540690922085,0.14547095874177537,0.01572663751870333
Roma-Udinese,0.3926110077052383,0.34642308787106685,0.2230684398232521,0.026783699169792594,0.011113765430650227
Juventus-Inter,0.11915403530141228,0.18443100189118491,0.19417227118783398,0.4460658228489401,0.056176868770628594
Verona-Lecce,0.1734836333263737,0.42316950464345715,0.3488648561730428,0.04120961866263077,0.013272387194495791
Bologna-Torino,0.6710701511180378,0.2670100669150256,0.0461857073037677,0.011264713201661341,0.004469361461507559
