,0,1,2,3,4
Empoli-Lazio,0.25387065802141,0.2732774499834086,0.1696629374691094,0.1478854646523622,0.1553034898737228
Sassuolo-Genoa,0.2029804004022573,0.2327060677067798,0.1894350500177915,0.1930998974572121,0.1817785844159601
Monza-Fiorentina,0.285700528358952,0.2133114181308954,0.1718829404717619,0.1620268866851267,0.1670782263532671
Salernitana-Milan,0.373432474811702,0.3331517406796374,0.0963112992691957,0.1052348807526479,0.0918696044867981
Frosinone-Juventus,0.3457992901505849,0.2594776882849771,0.1357693989159102,0.1328402075399744,0.1261134151085481
Bologna-Atalanta,0.1679715523115579,0.1380641813088588,0.2140326217402419,0.2587493115746145,0.2211823330647196
Torino-Udinese,0.1387437980218049,0.1532987441311959,0.2534857694747815,0.2205177842441673,0.2339539041280441
Verona-Cagliari,0.23165234246229,0.2246484131097724,0.2054330314041938,0.1675866143183028,0.1706795987054537
Inter-Lecce,0.0909930583075422,0.0885464602698257,0.2550057930583118,0.2692713027359774,0.2961833856283293
Roma-Napoli,0.1781216308679206,0.1928204946346661,0.2015231867142496,0.2295829516801738,0.1979517361029905
