,0,1,2,3,4
Empoli-Lazio,0.1551213545145816,0.2300195070749665,0.2033994107074611,0.2012789288756965,0.2101807988272999
Sassuolo-Genoa,0.2128607461325096,0.2472717593272158,0.1665544813422591,0.1783995550237889,0.1949134581742153
Monza-Fiorentina,0.1277675714105776,0.1706316396242913,0.2585338699076865,0.2339493649180097,0.2091175541394414
Salernitana-Milan,0.0509150754131447,0.1111353968370858,0.3198193978841804,0.2712472450243986,0.2468828848412081
Frosinone-Juventus,0.0754452903132067,0.1448109271233277,0.2958810384430109,0.2579834581870201,0.2258792859334336
Bologna-Atalanta,0.2626000910388368,0.1843189159214183,0.1824929584231983,0.1911828600794876,0.1794051745370526
Torino-Udinese,0.3947175033657065,0.2364390807208039,0.1060238524143291,0.1285577586961239,0.1342618048030264
Verona-Cagliari,0.2076655896021766,0.2320302103855588,0.1660573267004391,0.1980499069115925,0.1961969664002276
Inter-Lecce,0.4402802609581397,0.1772071835953093,0.1313488060701319,0.1242440891041202,0.1269196602722871
Roma-Napoli,0.2439455715371508,0.1683719383139977,0.1881589817907245,0.1883967585849655,0.211126749773156
