Partita,O,U
Empoli-Lazio,0.6164022645943626,0.3835977354056322
Sassuolo-Genoa,0.5932223352848809,0.40677766471512056
Monza-Fiorentina,0.4531287221367232,0.5468712778632885
Salernitana-Milan,0.5616959325760671,0.43830406742393385
Frosinone-Juventus,0.4141038302428547,0.5858961697571387
Bologna-Atalanta,0.3730052510587665,0.626994748941242
Torino-Udinese,0.27394408654293123,0.7260559134570613
Verona-Cagliari,0.7114448574365536,0.2885551425634571
Inter-Lecce,0.321701338834171,0.6782986611658336
Roma-Napoli,0.3971602296936326,0.6028397703063615
