Partita,0,1,2,3,4
Lecce-Fiorentina,0.17141337476832527,0.7346383368434711,0.07482644602735483,0.01589533462447394,0.0032265077363747984
Empoli-Genoa,0.4027126015399163,0.28404075254510536,0.23985824009839005,0.06826080216470715,0.005127603651881049
Udinese-Monza,0.26340237457852317,0.6361764611254292,0.06194845985552,0.03498407251605553,0.00348863192447213
Frosinone-Milan,0.3106560990544776,0.2705101090325842,0.31794906499935344,0.09216442879319464,0.008720298120390078
Bologna-Sassuolo,0.04225782729365833,0.4413866445999023,0.45981893149684716,0.049136021227423825,0.007400575382168362
Torino-Salernitana,0.09276961815267472,0.3755529643530072,0.34671211218799214,0.17775273017182072,0.00721257513450533
Napoli-Verona,0.19538965187620913,0.44693288452268926,0.28671171376565097,0.05259439911335471,0.018371350722096103
Atalanta-Lazio,0.12814984966569723,0.31993526742140116,0.4732222161969701,0.05227039984965562,0.02642226686627584
Inter-Juventus,0.33339856309137583,0.19894751608949607,0.17823540724302975,0.2388368287322273,0.050581684843871086
Roma-Cagliari,0.15087260357430865,0.36179633152457186,0.17606551408580173,0.24534980094969305,0.06591574986562469
