Partita,GG,NG
Torino-Lecce,0.5450236966824644,0.4549763033175355
Inter-Salernitana,0.4549763033175355,0.5450236966824644
Napoli-Genoa,0.5734597156398105,0.4265402843601896
Verona-Juventus,0.5971563981042654,0.4028436018957346
Atalanta-Sassuolo,0.5118483412322274,0.4881516587677725
Lazio-Bologna,0.5165876777251185,0.4834123222748815
Empoli-Fiorentina,0.6161137440758294,0.38388625592417064
Udinese-Cagliari,0.5355450236966824,0.46445497630331756
Frosinone-Roma,0.6445497630331753,0.35545023696682465
Monza-Milan,0.6018957345971564,0.3981042654028436
