squadra,0,1,2,3,4
Juventus,0.21,0.32,0.28,0.1,0.09
Cagliari,0.14,0.26,0.35,0.14,0.12
Empoli,0.23,0.34,0.25,0.13,0.05
Verona,0.16,0.32,0.3,0.13,0.1
Inter,0.28,0.43,0.21,0.06,0.02
Lazio,0.19,0.27,0.32,0.14,0.08
Napoli,0.28,0.42,0.19,0.09,0.03
Frosinone,0.2,0.32,0.28,0.11,0.1
Monza,0.2,0.3,0.28,0.14,0.08
Genoa,0.23,0.32,0.27,0.12,0.05
Lecce,0.21,0.35,0.28,0.1,0.07
Milan,0.3,0.44,0.18,0.06,0.01
Salernitana,0.26,0.34,0.26,0.1,0.04
Atalanta,0.22,0.4,0.24,0.08,0.05
Sassuolo,0.14,0.28,0.31,0.14,0.12
Torino,0.27,0.4,0.22,0.09,0.03
Udinese,0.15,0.29,0.31,0.16,0.1
Fiorentina,0.22,0.37,0.24,0.09,0.08
Bologna,0.24,0.35,0.25,0.11,0.05
Roma,0.24,0.36,0.25,0.1,0.05
