giornata,anno,partita,risultato,partita_short
1,2019,Parma - Juventus,0 - 1,PAR - JUV
1,2019,Fiorentina - Napoli,3 - 4,FIO - NAP
1,2019,Udinese - Milan,1 - 0,UDI - MIL
1,2019,Cagliari - Brescia,0 - 1,CAG - BRE
1,2019,Verona - Bologna,1 - 1,VER - BOL
1,2019,Roma - Genoa,3 - 3,ROM - GEN
1,2019,Sampdoria - Lazio,0 - 3,SAM - LAZ
1,2019,Spal - Atalanta,2 - 3,SPA - ATA
1,2019,Torino - Sassuolo,2 - 1,TOR - SAS
1,2019,Inter - Lecce,4 - 0,INT - LEC
2,2019,Bologna - Spal,1 - 0,BOL - SPA
2,2019,Milan - Brescia,1 - 0,MIL - BRE
2,2019,Juventus - Napoli,4 - 3,JUV - NAP
2,2019,Lazio - Roma,1 - 1,LAZ - ROM
2,2019,Atalanta - Torino,2 - 3,ATA - TOR
2,2019,Cagliari - Inter,1 - 2,CAG - INT
2,2019,Genoa - Fiorentina,2 - 1,GEN - FIO
2,2019,Lecce - Verona,0 - 1,LEC - VER
2,2019,Sassuolo - Sampdoria,4 - 1,SAS - SAM
2,2019,Udinese - Parma,1 - 3,UDI - PAR
3,2019,Fiorentina - Juventus,0 - 0,FIO - JUV
3,2019,Napoli - Sampdoria,2 - 0,NAP - SAM
3,2019,Inter - Udinese,1 - 0,INT - UDI
3,2019,Genoa - Atalanta,1 - 2,GEN - ATA
3,2019,Brescia - Bologna,3 - 4,BRE - BOL
3,2019,Parma - Cagliari,1 - 3,PAR - CAG
3,2019,Spal - Lazio,2 - 1,SPA - LAZ
3,2019,Roma - Sassuolo,4 - 2,ROM - SAS
3,2019,Verona - Milan,0 - 1,VER - MIL
3,2019,Torino - Lecce,1 - 2,TOR - LEC
4,2019,Cagliari - Genoa,3 - 1,CAG - GEN
4,2019,Udinese - Brescia,0 - 1,UDI - BRE
4,2019,Juventus - Verona,2 - 1,JUV - VER
4,2019,Milan - Inter,0 - 2,MIL - INT
4,2019,Sassuolo - Spal,3 - 0,SAS - SPA
4,2019,Bologna - Roma,1 - 2,BOL - ROM
4,2019,Lecce - Napoli,1 - 4,LEC - NAP
4,2019,Sampdoria - Torino,1 - 0,SAM - TOR
4,2019,Atalanta - Fiorentina,2 - 2,ATA - FIO
