,Partita,Rt-5h,Rt-4h,Rt-3h,Rt-2h,Rt-1h,Classifica h,Rt-5a,Rt-4a,Rt-3a,Rt-2a,Rt-1a,Classifica a,media gol_fatti h,media gol_subiti h,media gol_fatti a,media gol_subiti a,varianza gol_fatti h,varianza gol_subiti h,varianza gol_fatti a,varianza gol_subiti a,Gf-5h,Gf-4h,Gf-3h,Gf-2h,Gf-1h,Gs-5h,Gs-4h,Gs-3h,Gs-2h,Gs-1h,Gf-5a,Gf-4a,Gf-3a,Gf-2a,Gf-1a,Gs-5a,Gs-4a,Gs-3a,Gs-2a,Gs-1a,yGf,yGs
0,Spezia-Milan,1,0,0,2,0,17,2,2,2,1,2,3,1.3333333333333333,2.5,2.0,0.5,0.816496580927726,1.8708286933869709,1.095445115010332,0.5477225575051661,2,1,0,2,2,2,6,1,1,3,1,4,2,1,2,0,1,0,1,0,1,2
1,Inter-Atalanta,2,2,1,2,2,2,2,1,0,2,2,5,3.333333333333333,1.1666666666666667,1.3333333333333333,1.0,1.505545305418162,0.752772652709081,0.816496580927726,0.8944271909999159,4,3,2,6,3,0,1,2,1,1,2,0,1,1,2,1,0,2,0,1,2,2
2,Genoa-Verona,0,0,2,0,1,16,0,0,0,2,1,15,1.6666666666666667,2.5,1.8333333333333333,2.333333333333333,1.2110601416389966,0.8366600265340756,1.1690451944500122,0.816496580927726,0,1,3,1,2,4,2,2,2,2,2,1,0,3,2,3,3,1,2,2,3,3
3,Juventus-Sampdoria,1,0,0,1,2,12,0,1,1,2,0,13,1.6666666666666667,1.6666666666666667,1.1666666666666667,1.6666666666666667,1.2110601416389968,0.5163977794943223,1.3291601358251257,1.632993161855452,2,0,1,1,3,2,1,2,1,2,0,0,2,3,0,1,0,2,0,4,3,2
4,Empoli-Bologna,0,2,0,0,2,11,2,1,2,0,1,8,1.5,1.6666666666666667,1.5,2.333333333333333,1.378404875209022,1.3662601021279464,1.0488088481701516,2.3380903889000244,1,1,1,0,2,3,0,2,3,0,3,0,1,1,2,2,0,0,6,2,4,2
5,Sassuolo-Salernitana,2,1,0,0,0,14,0,0,0,0,1,20,1.0,1.1666666666666667,0.6666666666666666,2.5,1.095445115010332,0.983192080250175,1.0327955589886446,1.378404875209022,3,0,1,0,1,2,0,2,1,2,2,0,0,0,2,3,4,4,1,2,1,0
6,Udinese-Fiorentina,1,2,2,0,0,10,0,2,2,2,0,6,1.0,1.3333333333333333,1.5,1.5,1.2649110640673518,1.505545305418162,0.5477225575051661,1.224744871391589,2,3,1,0,0,2,0,0,4,1,1,2,2,2,1,3,1,1,1,3,0,1
7,Lazio-Roma,2,2,0,1,1,7,2,2,2,0,2,4,2.5,1.5,2.333333333333333,1.3333333333333333,2.073644135332772,0.5477225575051661,1.0327955589886444,1.3662601021279464,3,6,0,2,1,1,1,2,2,1,3,4,2,2,1,1,0,1,3,0,3,2
8,Napoli-Cagliari,2,2,2,2,2,1,1,0,0,1,0,19,2.6666666666666665,0.3333333333333333,1.1666666666666667,2.5,1.0327955589886446,0.5163977794943223,0.9831920802501752,0.8366600265340756,2,2,2,4,4,0,1,1,0,0,2,1,2,2,0,2,4,3,2,2,2,0
9,Venezia-Torino,0,0,2,0,0,18,0,0,2,2,1,9,0.6666666666666666,1.8333333333333333,1.5,1.0,0.816496580927726,0.752772652709081,1.224744871391589,0.8944271909999159,0,0,2,1,0,2,3,1,2,2,1,1,4,1,1,2,2,0,0,1,1,1
