,squadra_casa,squadra_trasferta,giornata,goal_casa,goal_trasferta,anno
0,Empoli,Verona,0,0,1,2023
1,Frosinone,Napoli,0,1,3,2023
2,Genoa,Fiorentina,0,1,4,2023
3,Inter,Monza,0,2,0,2023
4,Roma,Salernitana,0,2,2,2023
5,Sassuolo,Atalanta,0,0,2,2023
6,Lecce,Lazio,0,2,1,2023
7,Udinese,Juventus,0,0,3,2023
8,Torino,Cagliari,0,0,0,2023
9,Bologna,Milan,0,0,2,2023
10,Frosinone,Atalanta,1,0,0,2023
11,Monza,Empoli,1,0,0,2023
12,Verona,Roma,1,0,0,2023
13,Milan,Torino,1,0,0,2023
14,Fiorentina,Lecce,1,0,0,2023
15,Juventus,Bologna,1,0,0,2023
16,Lazio,Genoa,1,0,0,2023
17,Napoli,Sassuolo,1,0,0,2023
18,Salernitana,Udinese,1,0,0,2023
19,Cagliari,Inter,1,0,0,2023
