squadra_casa,squadra_trasferta,goal_casa,goal_trasferta,giornata,anno
Atalanta,Altro,0,0,-5,2024
AZ_Alkmaar,Atalanta,2,2,-4,2024
Altro,Atalanta,4,1,-3,2024
St.Pauli,Atalanta,3,0,-2,2024
Real Madrid,Atalanta,0,0,-1,2024
Bologna,Brixen,2,0,-5,2024
Bologna,Asteras_Tripolis,3,3,-4,2024
Bologna,Bochum,0,4,-3,2024
Bologna,Sudtirol,1,0,-2,2024
Maiorca,Bologna,1,1,-1,2024
Cagliari,Cremonese,0,0,-5,2024
Cagliari,Altro,1,3,-4,2024
Cagliari,Catanzaro,2,0,-3,2024
Modena,Cagliari,2,2,-2,2024
Cagliari,Carrarese,0,0,-2,2024
Altro,Como,1,3,-5,2024
Como,Cremonese,0,0,-4,2024
Al_Hilal,Como,1,0,-3,2024
Wolfsburg,Como,0,0,-2,2024
Sampdoria,Como,1,1,-1,2024
Empoli,Castelfiorentino,10,0,-5,2024
Empoli,Ingolstadt,0,0,-4,2024
Empoli,Spezia,2,0,-3,2024
Empoli,Sampdoria,0,2,-2,2024
Empoli,Catanzaro,4,1,-1,2024
Preston,Fiorentina,2,1,-5,2024
Hull_City,Fiorentina,2,2,-4,2024
Fiorentina,Montpellier,2,1,-3,2024
Grosseto,Fiorentina,2,7,-2,2024
Friburgo,Fiorentina,2,2,-1,2024
Altro,Genoa,1,3,-5,2024
Genoa,Mantova,3,2,-4,2024
Brescia,Genoa,2,0,-3,2024
Monaco,Genoa,1,2,-2,2024
Genoa,Reggiana,1,0,-1,2024
Inter,Pergolettese,2,1,-5,2024
Inter,Las_Palmas,3,0,-4,2024
Pisa,Inter,1,1,-3,2024
Inter,Al_Ittihad,0,2,-2,2024
Chelsea,Inter,1,1,-1,2024
Juventus,Altro,0,0,-5,2024
Juventus,Altro,0,0,-4,2024
Norimberga,Juventus,3,0,-3,2024
Juventus,Brest,2,2,-2,2024
Juventus,Atletico_Madrid,0,2,-1,2024
Lazio,Triestina,1,1,-5,2024
Hansa_Rostock,Lazio,0,3,-4,2024
Lazio,Frosinone,2,0,-3,2024
Southampton,Lazio,1,1,-2,2024
Cadice,Lazio,0,1,-1,2024
Werder_Brema,Lecce,0,3,-5,2024
Lecce,Galatasaray,1,2,-4,2024
Lecce,Huddersfield_Town,1,2,-3,2024
Lecce,Nizza,2,3,-2,2024
Lecce,Mantova,0,0,-1,2024
Rapid_Vienna,Milan,1,1,-5,2024
Manchester_City,Milan,2,3,-4,2024
Milan,Real_Madrid,1,0,-3,2024
Milan,Barcellona,2,2,-2,2024
Milan,Altro,0,0,-1,2024
Monza,Alcione_Milano,2,0,-5,2024
Monza,Vis_Pesaro,3,1,-4,2024
Monza,Sassuolo,2,2,-3,2024
Monza,Altro,0,0,-2,2024
Monza,Sudtirol,2,2,-1,2024
Napoli,Mantova,3,0,-5,2024
Napoli,KF_Egnatia,4,0,-4,2024
Napoli,Brest,1,0,-3,2024
Napoli,Girona,0,2,-2,2024
Napoli,Modena,0,0,-1,2024
Anversa,Parma,1,2,-5,2024
Galatasaray,Parma,0,2,-4,2024
Parma,Heidenheim,0,1,-3,2024
Parma,Altro,4,1,-2,2024
Parma,Palermo,0,1,-1,2024
Kosice,Roma,1,1,-5,2024
Roma,Tolosa,0,1,-4,2024
Roma,Olympiacos,1,1,-3,2024
Barnsley,Roma,0,4,-2,2024
Everton,Roma,0,0,-1,2024
Torino,Cremonese,1,2,-5,2024
Lione,Torino,0,0,-4,2024
Bourgoin_Jallieu,Torino,1,1,-3,2024
Metz,Torino,0,3,-2,2024
Torino,Cosenza,2,0,-1,2024
Colonia,Udinese,2,3,-5,2024
Udinese,Konyaspor,1,0,-4,2024
Udinese,Aris_Limassol,1,0,-3,2024
Udinese,Avellino,4,0,-2,2024
Al_Hilal,Udinese,1,0,-1,2024
Venezia,Vis_Pesaro,4,1,-5,2024
Venezia,NK_Istra,1,1,-4,2024
Utrecht,Venezia,1,2,-3,2024
Pec_Zwolle,Venezia,1,2,-2,2024
Brescia,Venezia,3,1,-1,2024
Verona,Rovereto,7,1,-5,2024
Verona,Virtus_Verona,5,1,-4,2024
Verona,Feralpisalò,2,2,-3,2024
Verona,Asteras_Tripolis,1,0,-2,2024
Verona,Cesena,1,2,-1,2024
