squadra,anno,giornata,gol_fatti_casa,gol_fatti_trasferta
Juventus-Spal,2019,6,2,0
Sampdoria-Inter,2019,6,1,3
Sassuolo-Atalanta,2019,6,1,4
Napoli-Brescia,2019,6,2,1
Lazio-Genoa,2019,6,4,0
Lecce-Roma,2019,6,0,1
Udinese-Bologna,2019,6,1,0
Cagliari-Verona,2019,6,1,1
Milan-Fiorentina,2019,6,1,3
Parma-Torino,2019,6,3,2
Spal-Parma,2019,7,1,0
Verona-Sampdoria,2019,7,2,0
Genoa-Milan,2019,7,1,2
Fiorentina-Udinese,2019,7,1,0
Atalanta-Lecce,2019,7,3,1
Bologna-Lazio,2019,7,2,2
Roma-Cagliari,2019,7,1,1
Torino-Napoli,2019,7,0,0
Inter-Juventus,2019,7,1,2
Brescia-Sassuolo,2019,7,0,2
Lazio-Atalanta,2019,8,3,3
Napoli-Verona,2019,8,2,0
Juventus-Bologna,2019,8,2,1
Sassuolo-Inter,2019,8,3,4
Cagliari-Spal,2019,8,2,0
Sampdoria-Roma,2019,8,0,0
Udinese-Torino,2019,8,1,0
Parma-Genoa,2019,8,4,1
Milan-Lecce,2019,8,2,2
Brescia-Fiorentina,2019,8,0,0
Verona-Sassuolo,2019,9,0,1
Lecce-Juventus,2019,9,1,1
Inter-Parma,2019,9,2,2
Genoa-Brescia,2019,9,3,1
Bologna-Sampdoria,2019,9,2,1
Atalanta-Udinese,2019,9,4,1
Spal-Napoli,2019,9,1,1
Torino-Cagliari,2019,9,1,1
Roma-Milan,2019,9,2,1
Fiorentina-Lazio,2019,9,1,2
Parma-Verona,2019,10,0,1
Brescia-Inter,2019,10,1,2
Napoli-Atalanta,2019,10,2,2
Cagliari-Bologna,2019,10,3,2
Juventus-Genoa,2019,10,2,1
Lazio-Torino,2019,10,4,0
Sampdoria-Lecce,2019,10,1,1
Sassuolo-Fiorentina,2019,10,1,2
Udinese-Roma,2019,10,0,4
Milan-Spal,2019,10,1,0
Roma-Napoli,2019,11,2,1
Bologna-Inter,2019,11,1,2
Torino-Juventus,2019,11,0,1
Atalanta-Cagliari,2019,11,0,2
Genoa-Udinese,2019,11,1,3
