Partita,N,P,V
Genoa-Juventus,0.11628404884972544,0.8772856935546282,0.00643025759564646
Lecce-Frosinone,0.397796596391101,0.14702080614070923,0.4551825974681898
Napoli-Cagliari,0.053656783243974694,0.01164695859812676,0.9346962581578985
Torino-Empoli,0.14181574673256428,0.012755550559604104,0.8454287027078317
Milan-Monza,0.3158902002819693,0.1440236557535756,0.5400861439644552
Fiorentina-Verona,0.13607886065071848,0.028456249378398923,0.8354648899708826
Udinese-Sassuolo,0.3933316701990115,0.10356097589313402,0.5031073539078545
Bologna-Roma,0.418138326324954,0.2587263736747515,0.3231353000002946
Lazio-Inter,0.08670483537742435,0.9103412977375243,0.002953866885051316
Atalanta-Salernitana,0.05949042930008849,0.002730227472605841,0.9377793432273057
