squadra,gol_fatti,gol_subiti,punti,sconfitta,vittoria,differenza_reti,posizione
Napoli,5.0,2.0,3.0,0.0,1.0,3.0,1
Juventus,3.0,0.0,3.0,0.0,1.0,3.0,2
Milan,4.0,2.0,3.0,0.0,1.0,2.0,3
Atalanta,2.0,0.0,3.0,0.0,1.0,2.0,4
Fiorentina,3.0,2.0,3.0,0.0,1.0,1.0,5
Lazio,2.0,1.0,3.0,0.0,1.0,1.0,6
Inter,2.0,1.0,3.0,0.0,1.0,1.0,7
Torino,2.0,1.0,3.0,0.0,1.0,1.0,8
Spezia,1.0,0.0,3.0,0.0,1.0,1.0,9
Roma,1.0,0.0,3.0,0.0,1.0,1.0,10
Cremonese,2.0,3.0,0.0,1.0,0.0,-1.0,11
Lecce,1.0,2.0,0.0,1.0,0.0,-1.0,12
Monza,1.0,2.0,0.0,1.0,0.0,-1.0,13
Bologna,1.0,2.0,0.0,1.0,0.0,-1.0,14
Salernitana,0.0,1.0,0.0,1.0,0.0,-1.0,15
Empoli,0.0,1.0,0.0,1.0,0.0,-1.0,16
Udinese,2.0,4.0,0.0,1.0,0.0,-2.0,17
Sampdoria,0.0,2.0,0.0,1.0,0.0,-2.0,18
Verona,2.0,5.0,0.0,1.0,0.0,-3.0,19
Sassuolo,0.0,3.0,0.0,1.0,0.0,-3.0,20
