Squadra,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Napoli,47.0,73.0,26.0,5.0,1,86.0,4.0,27.0
Juventus,23.0,55.0,32.0,6.0,2,69.0,9.0,21.0
Lazio,27.0,55.0,28.0,8.0,3,68.0,8.0,20.0
Inter,27.0,67.0,40.0,3.0,4,66.0,12.0,21.0
Milan,18.0,60.0,42.0,10.0,5,64.0,8.0,18.0
Atalanta,16.0,59.0,43.0,7.0,6,61.0,11.0,18.0
Roma,12.0,47.0,35.0,9.0,7,60.0,10.0,17.0
Monza,0.0,46.0,46.0,10.0,8,52.0,12.0,14.0
Fiorentina,7.0,48.0,41.0,11.0,9,50.0,12.0,13.0
Bologna,3.0,48.0,45.0,11.0,10,50.0,12.0,13.0
Torino,-2.0,38.0,40.0,11.0,11,50.0,12.0,13.0
Udinese,1.0,45.0,44.0,13.0,12,46.0,12.0,11.0
Sassuolo,-12.0,44.0,56.0,8.0,13,44.0,16.0,12.0
Empoli,-10.0,36.0,46.0,12.0,14,42.0,14.0,10.0
Salernitana,-13.0,45.0,58.0,15.0,15,39.0,13.0,8.0
Lecce,-13.0,30.0,43.0,12.0,16,33.0,17.0,7.0
Spezia,-26.0,30.0,56.0,13.0,17,31.0,17.0,6.0
Verona,-26.0,29.0,55.0,9.0,18,30.0,20.0,7.0
Cremonese,-34.0,32.0,66.0,12.0,19,24.0,20.0,4.0
Sampdoria,-45.0,22.0,67.0,9.0,20,18.0,24.0,3.0
