squadra,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Napoli,12.0,18.0,6.0,2.0,1,20.0,0.0,6.0
Atalanta,9.0,12.0,3.0,2.0,2,20.0,0.0,6.0
Udinese,9.0,17.0,8.0,1.0,3,19.0,1.0,6.0
Lazio,12.0,17.0,5.0,2.0,4,17.0,1.0,5.0
Milan,7.0,16.0,9.0,2.0,5,17.0,1.0,5.0
Roma,2.0,10.0,8.0,1.0,6,16.0,2.0,5.0
Juventus,7.0,12.0,5.0,4.0,7,13.0,1.0,3.0
Sassuolo,2.0,10.0,8.0,3.0,8,12.0,2.0,3.0
Inter,1.0,14.0,13.0,0.0,9,12.0,4.0,4.0
Torino,-3.0,7.0,10.0,1.0,10,10.0,4.0,3.0
Fiorentina,0.0,7.0,7.0,3.0,11,9.0,3.0,2.0
Spezia,-8.0,7.0,15.0,2.0,12,8.0,4.0,2.0
Lecce,-2.0,7.0,9.0,4.0,13,7.0,3.0,1.0
Salernitana,-3.0,10.0,13.0,4.0,14,7.0,3.0,1.0
Empoli,-3.0,7.0,10.0,4.0,15,7.0,3.0,1.0
Monza,-7.0,7.0,14.0,1.0,16,7.0,5.0,2.0
Bologna,-6.0,7.0,13.0,3.0,17,6.0,4.0,1.0
Verona,-8.0,7.0,15.0,2.0,18,5.0,5.0,1.0
Cremonese,-9.0,6.0,15.0,3.0,19,3.0,5.0,0.0
Sampdoria,-12.0,4.0,16.0,2.0,20,2.0,6.0,0.0
