squadra,differenza_reti,gol_fatti,gol_subiti,pareggio,punti,sconfitta,vittoria,posizione
Fiorentina,3.0,4.0,1.0,0.0,3.0,0.0,1.0,1
Juventus,3.0,3.0,0.0,0.0,3.0,0.0,1.0,2
Napoli,2.0,3.0,1.0,0.0,3.0,0.0,1.0,3
Atalanta,2.0,2.0,0.0,0.0,3.0,0.0,1.0,4
Inter,2.0,2.0,0.0,0.0,3.0,0.0,1.0,5
Milan,2.0,2.0,0.0,0.0,3.0,0.0,1.0,6
Lecce,1.0,2.0,1.0,0.0,3.0,0.0,1.0,7
Verona,1.0,1.0,0.0,0.0,3.0,0.0,1.0,8
Roma,0.0,2.0,2.0,1.0,1.0,0.0,0.0,9
Salernitana,0.0,2.0,2.0,1.0,1.0,0.0,0.0,10
Cagliari,0.0,0.0,0.0,1.0,1.0,0.0,0.0,11
Torino,0.0,0.0,0.0,1.0,1.0,0.0,0.0,12
Lazio,-1.0,1.0,2.0,0.0,0.0,1.0,0.0,13
Empoli,-1.0,0.0,1.0,0.0,0.0,1.0,0.0,14
Frosinone,-2.0,1.0,3.0,0.0,0.0,1.0,0.0,15
Bologna,-2.0,0.0,2.0,0.0,0.0,1.0,0.0,16
Monza,-2.0,0.0,2.0,0.0,0.0,1.0,0.0,17
Sassuolo,-2.0,0.0,2.0,0.0,0.0,1.0,0.0,18
Genoa,-3.0,1.0,4.0,0.0,0.0,1.0,0.0,19
Udinese,-3.0,0.0,3.0,0.0,0.0,1.0,0.0,20
