,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Inter,52.0,65.0,13.0,4.0,1,70.0,1.0,22.0
Juventus,21.0,42.0,21.0,6.0,2,57.0,4.0,17.0
Milan,19.0,51.0,32.0,5.0,3,56.0,5.0,17.0
Bologna,15.0,39.0,24.0,10.0,4,49.0,4.0,13.0
Atalanta,23.0,49.0,26.0,5.0,5,47.0,8.0,14.0
Roma,19.0,52.0,33.0,5.0,6,47.0,8.0,14.0
Fiorentina,11.0,39.0,28.0,7.0,7,43.0,8.0,12.0
Napoli,6.0,36.0,30.0,8.0,8,41.0,8.0,11.0
Torino,2.0,25.0,23.0,11.0,9,38.0,7.0,9.0
Lazio,1.0,30.0,29.0,5.0,10,38.0,11.0,11.0
Monza,-6.0,28.0,34.0,9.0,11,36.0,9.0,9.0
Genoa,-4.0,29.0,33.0,9.0,12,33.0,10.0,8.0
Lecce,-19.0,25.0,44.0,10.0,13,25.0,12.0,5.0
Empoli,-19.0,22.0,41.0,7.0,14,25.0,14.0,6.0
Udinese,-15.0,26.0,41.0,15.0,15,24.0,9.0,3.0
Frosinone,-21.0,35.0,56.0,6.0,16,24.0,15.0,6.0
Verona,-12.0,24.0,36.0,8.0,17,23.0,14.0,5.0
Cagliari,-22.0,25.0,47.0,8.0,18,23.0,14.0,5.0
Sassuolo,-18.0,31.0,49.0,6.0,19,21.0,16.0,5.0
Salernitana,-33.0,21.0,54.0,8.0,20,14.0,17.0,2.0
