,0,1,2,3,media_gol_fatti,varianza_gol_fatti,media_gol_subiti,varianza_gol_subiti
Milan,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Sampdoria,0.0,0.0,0.0,0.0,1.0,1.4142135623730951,3.0,0.0
Genoa,0.0,0.0,0.0,0.0,2.0,2.8284271247461903,3.5,3.5355339059327378
Parma,0.0,0.0,0.0,0.0,0.5,0.7071067811865476,3.0,1.4142135623730951
Fiorentina,0.0,0.0,0.0,0.0,2.0,1.4142135623730951,2.0,2.8284271247461903
Lazio,0.0,0.0,0.0,0.0,1.5,0.7071067811865476,2.0,2.8284271247461903
Crotone,0.0,0.0,0.0,0.0,0.5,0.7071067811865476,3.0,1.4142135623730951
Spezia,0.0,0.0,0.0,0.0,1.5,0.7071067811865476,2.0,2.8284271247461903
Verona,0.0,0.0,0.0,0.0,2.0,1.4142135623730951,0.0,0.0
Juventus,0.0,0.0,0.0,0.0,2.5,0.7071067811865476,1.0,1.4142135623730951
Udinese,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.7071067811865476
Atalanta,0.0,0.0,0.0,0.0,4.0,0.0,1.5,0.7071067811865476
Inter,0.0,0.0,0.0,0.0,4.5,0.7071067811865476,2.5,0.7071067811865476
Torino,0.0,0.0,0.0,0.0,1.0,1.4142135623730951,2.5,2.1213203435596424
Cagliari,0.0,0.0,0.0,0.0,0.5,0.7071067811865476,1.5,0.7071067811865476
Bologna,0.0,0.0,0.0,0.0,2.0,2.8284271247461903,1.5,0.7071067811865476
Roma,0.0,0.0,0.0,0.0,1.0,1.4142135623730951,2.5,0.7071067811865476
Benevento,0.0,0.0,0.0,0.0,2.5,0.7071067811865476,3.5,2.1213203435596424
Napoli,0.0,0.0,0.0,0.0,4.0,2.8284271247461903,0.0,0.0
Sassuolo,0.0,0.0,0.0,0.0,2.5,2.1213203435596424,1.0,0.0
